id,face,im,hemifield,response,rt,correct,location,radius,angle,cols,pch,col1,angle2,group,gcol
o3,81,Mirror reversed,LVF,right,2.46519,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,83,Mirror reversed,RVF,right,4.817735,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,11,Intact,LVF,right,2.56327,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,4,Intact,RVF,right,2.483175,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,35,Mirror reversed,LVF,left,2.88293,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,46,Intact,RVF,right,2.135035,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,80,Intact,RVF,left,7.27888,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,8,Mirror reversed,RVF,right,10.315605,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,47,Mirror reversed,RVF,right,3.60081,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,19,Intact,RVF,right,2.350045,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,62,Mirror reversed,RVF,right,4.81724,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,50,Intact,RVF,right,12.83153,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,46,Mirror reversed,LVF,left,1.96158,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,10,Mirror reversed,RVF,left,3.22862,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,59,Mirror reversed,LVF,left,4.86667,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,20,Intact,RVF,right,11.31636,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,1,Intact,LVF,left,46.73414,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,33,Mirror reversed,RVF,right,2.531815,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,54,Intact,RVF,right,5.900185,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,47,Mirror reversed,LVF,left,3.683935,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,79,Intact,RVF,left,2.335215,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,82,Intact,RVF,right,6.133475,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,69,Intact,LVF,left,3.29965,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,20,Mirror reversed,LVF,right,7.10264,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,35,Intact,RVF,right,7.11686,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,49,Mirror reversed,LVF,left,3.96311,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,62,Intact,RVF,right,4.183585,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,51,Intact,LVF,left,2.11566,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,19,Mirror reversed,RVF,left,3.76277,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,77,Mirror reversed,LVF,right,8.817445,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,81,Intact,LVF,left,4.383395,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,77,Intact,LVF,left,3.079175,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,28,Mirror reversed,RVF,left,4.26737,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,67,Mirror reversed,RVF,left,5.114815,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,10,Mirror reversed,LVF,left,2.51645,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,28,Intact,RVF,left,4.168395,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,1,Intact,RVF,right,1.999205,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,80,Mirror reversed,LVF,right,2.1169,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,82,Mirror reversed,RVF,right,3.766855,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,62,Mirror reversed,LVF,right,2.083815,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,49,Intact,RVF,left,7.533565,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,47,Intact,LVF,right,3.66689,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,68,Mirror reversed,RVF,right,2.45278,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,31,Mirror reversed,RVF,left,4.249045,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,20,Mirror reversed,RVF,left,4.16702,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,32,Intact,LVF,left,2.78054,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,71,Mirror reversed,LVF,left,4.50045,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,81,Mirror reversed,RVF,left,7.58286,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,10,Intact,LVF,left,2.31656,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,68,Mirror reversed,LVF,left,2.62095,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,76,Intact,RVF,right,2.21678,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,58,Mirror reversed,RVF,left,2.548535,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,80,Mirror reversed,RVF,right,2.06635,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,42,Mirror reversed,RVF,right,2.18336,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,76,Mirror reversed,RVF,left,7.43415,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,32,Mirror reversed,LVF,right,8.16698,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,67,Intact,RVF,left,4.22923,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,33,Intact,LVF,right,8.064305,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,46,Intact,LVF,right,4.182905,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,81,Intact,RVF,left,9.834055,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
